Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-07,19:02:44,2024-01-07,20:13:46,01:11:02,"Domain: School, Type: Research, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-07,20:24:29,2024-01-07,20:52:59,00:28:30,"Domain: School, Type: Research, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-08,09:29:40,2024-01-08,10:58:47,01:29:07,"Domain: School, Type: Research, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-08,11:03:51,2024-01-08,11:15:54,00:12:03,"Domain: School, Type: Research, Type: Writing",
S2024,Social Media and Misinformation,,ClickUp Scheduling,No,2024-01-09,13:52:29,2024-01-09,14:46:40,00:54:11,"Domain: School, Type: Implementing",
S2024,Cryptography,,ClickUp Scheduling,No,2024-01-09,14:45:00,2024-01-09,15:07:24,00:22:24,"Domain: School, Type: Implementing",
S2024,Cryptography,,Crypt Zotero,No,2024-01-10,09:35:58,2024-01-10,09:47:46,00:11:48,"Domain: School, Type: Implementing",
S2024,Network Sciences,,Network Zotero,No,2024-01-10,14:58:06,2024-01-10,14:58:19,00:00:13,"Domain: School, Type: Implementing",
S2024,Network Sciences,,Network Zotero,No,2024-01-10,15:00:20,2024-01-10,15:14:20,00:14:00,"Domain: School, Type: Implementing",
S2024,Cryptography,,Quiz 01,No,2024-01-11,13:58:56,2024-01-11,14:21:06,00:22:10,"Domain: School, Type: Assessment",
S2024,Social Media and Misinformation,,Reading: Silicon Valley Ideologies,No,2024-01-11,14:22:20,2024-01-11,15:08:41,00:46:21,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Silicon Valley Ideologies,No,2024-01-11,15:14:15,2024-01-11,16:17:49,01:03:34,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reflection 1,No,2024-01-11,18:05:15,2024-01-11,19:39:24,01:34:09,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 1,No,2024-01-11,21:10:00,2024-01-11,21:15:20,00:05:20,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reflection 1,No,2024-01-16,17:16:37,2024-01-16,17:43:55,00:27:18,"Domain: School, Type: Writing",
S2024,Social Media and Misinformation,,Reading: Silicon Valley Ideologies,No,2024-01-16,17:45:13,2024-01-16,18:39:08,00:53:55,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Jan. 17 Discussion Prep,No,2024-01-16,18:42:48,2024-01-16,18:49:23,00:06:35,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Jan. 17 Discussion Prep,No,2024-01-17,07:57:39,2024-01-17,08:25:42,00:28:03,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Jan. 17 Discussion Prep,No,2024-01-17,09:28:35,2024-01-17,09:54:38,00:26:03,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Jan. 17 Discussion Prep,No,2024-01-17,09:55:32,2024-01-17,10:14:49,00:19:17,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Jan. 17 Discussion Prep,No,2024-01-17,15:00:00,2024-01-17,15:40:40,00:40:40,"Domain: School, Type: Research",
S2024,Network Sciences,,Dataset Discussion,No,2024-01-17,15:54:28,2024-01-17,16:21:00,00:26:32,"Domain: School, Type: Research",
S2024,Network Sciences,,CSR Quiz,No,2024-01-18,13:30:00,2024-01-18,13:42:53,00:12:53,"Domain: School, Type: Practice",
S2024,Beyond CPUs,,HW01,No,2024-01-18,13:43:22,2024-01-18,14:36:14,00:52:52,"Domain: School, Type: Practice",
S2024,Cryptography,,HW01,No,2024-01-18,14:53:39,2024-01-18,15:15:40,00:22:01,"Domain: School, Type: Practice",
S2024,Network Sciences,,Dataset Discussion,No,2024-01-19,09:56:55,2024-01-19,10:07:06,00:10:11,"Domain: School, Type: Research",
S2024,Network Sciences,,Dataset Discussion,No,2024-01-19,10:22:46,2024-01-19,10:28:47,00:06:01,"Domain: School, Type: Research",
S2024,Social Media and Misinformation,,Reading: Conspiracy Theories,No,2024-01-22,09:53:06,2024-01-22,10:35:39,00:42:33,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Conspiracy Theories,No,2024-01-22,10:37:39,2024-01-22,11:00:22,00:22:43,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Conspiracy Theories,No,2024-01-22,11:17:31,2024-01-22,11:56:16,00:38:45,"Domain: School, Type: Reading",
S2024,Cryptography,,"Secrecy, Security, Obscurity",No,2024-01-22,20:46:32,2024-01-22,20:53:22,00:06:50,"Domain: School, Type: Reading",
S2024,Cryptography,,HW01,No,2024-01-24,09:19:23,2024-01-24,10:06:05,00:46:42,"Domain: School, Type: Practice",
S2024,Cryptography,,HW01,No,2024-01-24,13:34:37,2024-01-24,13:57:00,00:22:23,"Domain: School, Type: Practice",
S2024,Cryptography,,HW01,No,2024-01-24,14:57:53,2024-01-24,15:00:17,00:02:24,"Domain: School, Type: Practice",
S2024,Cryptography,,HW01,No,2024-01-24,15:03:24,2024-01-24,15:20:33,00:17:09,"Domain: School, Type: Practice",
S2024,Network Sciences,,P1,No,2024-01-24,15:21:03,2024-01-24,16:10:00,00:48:57,"Domain: School, Type: Coding",
S2024,Cryptography,,HW01,No,2024-01-25,15:40:43,2024-01-25,16:20:19,00:39:36,"Domain: School, Type: Practice",
S2024,Network Sciences,,P1,No,2024-01-26,13:04:34,2024-01-26,13:13:35,00:09:01,"Domain: School, Type: Coding",
S2024,Social Media and Misinformation,,Reading: Free Speech,No,2024-01-30,18:29:18,2024-01-30,19:29:25,01:00:07,"Domain: School, Type: Reading",
S2024,Social Media and Misinformation,,Reading: Free Speech,No,2024-01-30,19:35:00,2024-01-30,20:09:49,00:34:49,"Domain: School, Type: Reading",
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-31,08:51:12,2024-01-31,09:12:57,00:21:45,"Domain: School, Type: Research, Type: Writing",
,Practicum - My Practicum,,Practicum Proposal,No,2024-01-31,09:14:08,2024-01-31,09:50:45,00:36:37,"Domain: School, Type: Research, Type: Writing",
